,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
5747,2018-08-28 06:00:00,"6,91167","11,8411","9,80396",,"17,0","8,947813","19,2","24,0","23,062","16,899","21,932","9,04639",,"4,11099","48,8262","25,1381","18,3225","20,5802","16,263862","14,1","12,8578","17,06","18,191461","17,642161","18,03","20,457375","18,510568","20,58","16,89","13,088456","20,2158","12,2","8,0",,"10,4564","14,1229","6,177","24,3097","9,07278",,"15,2","21,1","14,05","16,8055","20,9036","10,5406","9,91917","13,43","7,86667","4,74233","10,3692"
5748,2018-08-28 07:00:00,"9,11778","11,8667","6,85386","20,4243","14,8","8,105625","17,6704","24,0","22,165","17,949","16,232","11,1342",,"4,4514","49,1907","32,8089","19,1993","20,0933","15,538897","24,0","14,601922","17,84","17,811561","18,544871","18,54","24,646661","19,750225","21,07","19,77","12,13325","22,2006","9,5","11,0",,"8,25213","15,1322","5,4234","24,9362","9,23528",,"15,9","20,7","14,97","19,0726",,"13,2752","12,3556","16,8764","9,815","6,72354","11,837"
5749,2018-08-28 08:00:00,"9,71083","10,9027","7,53342","15,5963","11,6","17,216563","12,986","23,0","23,959","18,999","23,357","11,3017",,"5,78057","33,5339","24,1739","20,8224","20,1152","13,571137","18,8","14,396731","16,6","15,025626","17,724226","17,71","24,828804","20,122123","24,78","17,3","13,619127","15,6458","5,3","9,0",,"15,8228","13,5608","9,0972","20,183","7,73667",,"17,7","18,9","18,17","15,9113","17,9666","11,2281","14,5394","13,5138","11,0181","7,44015","11,1406"
5750,2018-08-28 09:00:00,"9,56028","8,27732","6,88512","16,4412","11,6","9,79","16,2364","20,0",,"18,999","16,232","10,8072",,"5,47802","27,0871","10,7195","4,10375","13,2595","11,706943","14,7","11,831846","13,25","12,251204","16,329129","15,43","25,193089","15,659355","19,56","15,28","15,423407","9,70889","3,9","10,0",,"11,3829","6,54751","6,5538","13,9261","6,9675",,"20,8","19,2","13,85","12,5937","13,9419","11,5543","14,18","18,3209","10,3758","10,2168","11,025"
5751,2018-08-28 10:00:00,"9,42444","11,0392","6,55232","12,2167","12,1","7,9525","9,0664","17,0","11,401","12,699","13,382","8,79278",,"3,38071","24,579","10,2514","6,49986","7,79709","11,085545","16,0","9,061769","15,18","6,403044","14,031323","13,16","21,185946","14,667629","19,66","14,94","11,496445","8,14861","2,9",,,"11,6207","2,3586","7,3074","6,54988","6,39278",,"17,7","17,1","9,15","14,3308","9,99298","10,0561","11,9472","14,0608","9,23444","8,14324","10,1753"
5752,2018-08-28 11:00:00,"10,0128","5,6835","7,56715","4,6126","11,7","4,124375","7,5368","12,0","6,019","8,499","13,382","7,16278",,"5,19008","21,1006","8,75208","9,63866","7,17224","12,121208","16,5","6,702075","17,61","5,332417","12,143839","9,28","21,094875","14,543663","16,06","15,34","11,920981","10,1431","2,4","8,0",,"11,2504","1,95407","7,8726","4,97241","5,86222",,"12,4","12,4","11,85","14,8139","9,21829","9,3338","10,4883",,"6,92917","5,41451","8,37028"
5753,2018-08-28 12:00:00,"9,76333","4,613","7,25103","12,5788","11,9","3,741563","6,6764","11,0","6,916","7,449","7,682","7,83833",,"5,57345","19,3314","9,32575","16,5","11,4608","12,949739","21,4","7,317647","15,68","6,59875","10,666677","9,64","21,732375","14,915561","13,68","17,37","11,814847","11,2586","2,9","6,0",,"12,4458","2,23844","7,4016","11,4421","4,37972",,"15,5","14,1","15,71","15,2425","10,7143","15,1198","7,86972",,"7,05472","5,88553","7,41111"
5754,2018-08-28 13:00:00,"11,8542","7,28691","7,7639","13,7858","12,3","4,200938","5,338","10,0","6,916","7,449","9,107","8,12222",,"7,03786","18,876","7,42427","13,186","8,75649","14,503234","16,6","8,753983","14,66","6,840505","11,323194","9,86","18,727018","12,560211","11,86","16,55","7,038813","11,8783","3,6","20,0",,"8,74104","2,05638","7,6842","5,87661","5,41722",,"15,3","13,7","25,23","13,019","11,9017","12,9266","6,48278","12,3424","7,12444","5,54969","8,03361"
5755,2018-08-28 14:00:00,"11,2622","12,0337","9,57675","13,1823","11,3","2,210313","6,8676","9,0","7,813","8,499","6,257","8,84778",,"9,46906","17,6384","4,11763","13,8846","12,6913","10,774846","15,9","6,599479","12,1","6,322459","13,374806","9,25","16,632375","10,576759","8,6","12,25","6,402009","11,8836","4,7","12,0",,"9,31113","1,86892","7,119","5,87027","6,25389",,"24,4","16,1","25,84","14,4645","11,1284","11,2268","6,30278","9,44224","7,85028","4,85862","8,32861"
5756,2018-08-28 15:00:00,"10,8278","10,1205","10,1953","14,3893","10,6","2,899375","5,7204","9,0","9,607","10,599","9,107","7,68306",,"9,61737","18,9089","5,39809","6,23076","12,7546","9,428484","12,8","5,676121","10,42","5,228807","12,554161","9,99","12,260946","8,221409","11,58","10,7","8,100154","11,0431","5,9","9,0",,"13,1268","2,004","8,061","7,50615","6,00583",,"9,2","12,1","29,14","14,997","11,0142","8,52019","7,08917","7,43773","7,41444","8,06926","7,89944"
5757,2018-08-28 16:00:00,"11,2258","11,5142","9,30369","14,9928","9,0","6,344688","4,7644","11,0","13,195","12,699","10,532","7,30083",,"6,85948","18,1498","3,62004","6,792","11,9824","7,357157","10,1","4,547571","20,35","5,815926","9,928097","13,24","13,080589","7,601581","10,62","9,84","8,949227","11,8267","6,1","6,0",,"11,0692","4,32323","8,2494","12,4229","7,11333",,"8,6","12,1","24,13","16,5179","11,5239","9,65542","5,45","9,74238","7,66611","6,82677","6,92563"
5758,2018-08-28 17:00:00,"10,76","13,4887","7,07303","16,8033","10,3","7,493125","5,1468","13,0","9,607","9,549","9,107","7,115",,"4,68121","19,2499","15,8409","9,90616","12,1936","8,599953","10,5","4,444976","13,04","4,791347","9,353645","14,08","16,085946","8,593307","10,65","10,95","9,479897","12,7667","8,9","8,0",,"12,5752","5,87379","9,3798","9,66681","6,83472",,"14,8","12,3","24,06","16,0803","12,1893","9,35543","5,16778","9,83177","8,07917","4,05738","6,94888"
5759,2018-08-28 18:00:00,"12,1658","10,78","5,68669","20,1829","12,3","6,42125","6,6764","15,0","8,71","7,449","7,682","7,80972",,"5,45213","20,1586","14,0354","9,68795","15,0237","11,49981","11,0","5,573525","12,86","5,274856","11,651452","12,5","16,085946","8,965204","13,37","11,92","9,373763","14,7547","15,7","11,0",,"9,74312","7,93288","11,6406","6,86457","7,62139",,"5,5","13,5","19,28","16,5271","10,9236","11,4345","5,25","6,02014","8,91861","7,759","8,08329"
5760,2018-08-28 19:00:00,"13,56","16,0786","9,54881","11,3718","11,4","18,135313","10,4048","19,0","14,092","10,599","7,682","9,76194",,"4,79305","22,4901","12,6836","17,4147","16,5563","23,306372","9,8","6,907266","11,86","5,597195","15,344355","17,54","17,725232","11,320554","16,99","11,68","10,32897","16,4211","17,5","9,0",,"19,1754","12,3614","12,771","9,08091","8,1275",,"9,1","17,0","17,38","20,3873","12,0671","9,52715","6,46","6,19906","12,0303","10,4381","8,14847"
5761,2018-08-28 20:00:00,"16,6739","24,0458","12,6277","13,6651","12,2","3,818125","11,8388","23,0","22,165","23,199","20,507","24,625",,"7,71979","25,6156","12,8165","25,511","20,7484","12,742606","10,5","8,856579","11,97","7,208893","22,89429","18,96","20,639518","13,799869","18,11","13,11","17,121552","22,1503","12,8","4,0",,"7,03498","15,0136","15,126","10,6353","14,4911",,"17,7","25,5","17,52","25,5418","14,565","14,3117","8,32917","7,74129","14,9708","13,3621","12,6728"
5762,2018-08-28 21:00:00,"16,6336","20,4909","18,6116","19,4587","13,6","6,268125","17,3836","27,0","23,959","22,149","17,657","20,1486",,"12,9168","28,1585","24,9958","22,1953","23,6422","14,710367","13,8","9,574747","12,44","8,613372","26,258935","19,38","17,907375","16,775047","17,98","14,59","20,730111","23,8847","11,1","6,0",,"26,291","14,1831","16,7274","14,6292","25,4433",,"17,3","30,1","17,55","22,3796","18,4268","14,695","8,20306","14,3536","16,8033","13,2341","17,52"
5763,2018-08-28 22:00:00,"17,7814","20,1054","17,6928","26,8214","15,0","12,929063","15,376","28,0","22,165","20,049","21,932","24,7922",,"20,6873","27,4207","13,5847","13,8257","24,7969","19,267285","17,9","11,113678","24,64","10,248094","23,304613","22,09","19,000232","18,014705","15,46","17,03","15,741809","26,8928","12,8","17,0",,"16,7459","14,1237","19,7418","12,5333","24,3703",,"23,0","27,5","14,3","19,6728","19,3248","11,7962","9,22","16,3678","18,5094","13,0533","23,3361"
5764,2018-08-28 23:00:00,"18,1786","16,3418","16,9042","23,3211","12,0","13,924375","14,3244","23,0","24,856","23,199","37,607","23,4375",,"5,60321","27,486","20,8789","13,9544","25,243","20,406515","15,7","19,321311","27,96","10,789164","20,760613","20,22","21,914518","20,122123","21,86","19,71","18,182893","28,8606","14,3","18,0",,"11,5987","14,3852","17,7636","9,66952","22,6114",,"22,6","24,7","9,73","23,0731","20,6524","13,1856","9,34139","24,7758","15,5481","7,52698","26,7328"
5765,2018-08-29 00:00:00,"15,905","18,8245","17,2023","22,8383","13,6","11,93375","11,3608","21,0","25,753","25,299","36,182","26,1",,"8,21333","26,1405","27,4456","9,4823","24,3572","22,374275","20,8","21,681006","23,07","10,616482","19,119323","17,15","17,816304","17,394876","20,02","20,12","16,697016","25,69","12,7","15,0",,"15,3499","14,9283","17,01","7,09956","16,7008",,"16,2","18,7","12,41","23,8034","20,6933","12,2508","9,67389","30,6232","15,9044","5,94011","22,6606"
5766,2018-08-29 01:00:00,"14,7425","12,7205","16,2156","24,4074","14,7","8,105625","10,4048","18,0","25,753","33,699","26,207","22,3156",,"11,722","22,317","16,0382","7,30129","23,2432","19,267285","18,7","29,991235","23,13","10,075412","20,924742","16,42","19,182375","14,543663","18,46","20,45","17,227686","23,6794","11,8","17,0",,"10,5746","16,102","16,2564","8,04632","17,972",,"11,5","19,4","9,93","19,7239","20,0154","12,4844","9,48806","32,1035","14,4061","11,3769","18,2078"
5767,2018-08-29 02:00:00,"16,9803","15,1929","14,2086","23,6832","14,0","13,77125","9,0664","19,0","25,753","34,749","20,507","23,805",,"11,52","22,5541","20,8182","8,05519","25,521","17,403091","18,8","35,736579","19,47","11,134528","21,663323","16,02","18,909161","15,659355","19,61","20,47","17,652223","22,9386","10,9","10,0",,"12,1192","16,6004","15,5028","10,7213","19,8408",,"15,5","19,1","9,54","22,5031","19,8363","13,3696","8,69944","31,1877","13,6517","9,30062","16,3128"
5768,2018-08-29 03:00:00,"16,0022","16,4324","17,9902","13,0616","14,7","12,010313","9,0664","18,0","23,062","30,549","14,807","18,2778",,"10,1353","22,3809","15,7931","10,9668","25,5555","16,367428","14,0","31,017189","23,88","12,918907","21,745387","16,31","17,178804","16,155218","20,56","20,97","17,439954","22,5211","9,8","9,0",,"13,2831","17,1699","15,9738","8,30077","20,2653",,"12,1","16,9","7,52","22,2069","20,9791","10,3879","9,42639","28,2901","15,885","8,16476","15,3397"
5769,2018-08-29 04:00:00,"16,0967","17,0463","17,9193","15,3549","14,6","11,6275","10,9784","19,0","14,989","27,399","11,957","20,4672",,"7,27259","21,6162","17,7807","13,9323","23,0646","15,642464","21,8","24,348487","16,47","12,654128","21,499194","15,91","16,450232","16,527116","20,99","20,74","16,909284","22,5925","7,3","7,0",,"16,2822","17,7768","15,597","8,04496","20,4794",,"16,3","16,9","8,48","24,3895","24,0891","6,78836","10,2231","25,9654","17,9717","4,9165","16,6372"
5770,2018-08-29 05:00:00,"16,6133","25,7481","15,6738","18,8552","13,1","10,09625","13,8464","19,0","10,504","18,999","16,232","21,0542",,"13,8091","22,4589","22,1711","6,17375","24,4699","15,642464","19,4","22,604365","21,03","14,576653","21,663323","15,82","14,810946","18,13867","18,86","19,4","17,758357","22,3083","5,7","6,0",,"13,3135","16,5746","15,3144","9,5613","21,7875",,"17,5","17,6","11,43","22,0812","25,7222",,"9,895","25,1474","17,5967","2,91445","16,2802"
5771,2018-08-29 06:00:00,"18,9211","18,6548","18,1037","22,1141","16,1","13,235313","18,3396","21,0","11,401","23,199","19,082","24,1622",,"7,9896","23,5","30,35","15,6253","24,542","15,124632","18,3","20,655052","25,74","17,696439","23,632871","14,77","15,357375","19,254362","16,3","18,86","18,819698","24,0853","5,0","5,0",,"10,81","15,3937","13,8072","9,42728","22,0858",,"19,1","19,6","10,43","22,4348","27,5223","7,48586","11,4872","25,3867","18,9378","6,64607","18,0587"
5772,2018-08-29 07:00:00,"19,6689","29,7477","18,3618","30,6838","21,8","18,824375","23,3108","22,0","13,195","32,649","23,357","24,1106",,"9,89231","26,2599","29,2827","26,5671","26,027","15,642464","19,8","18,295357","22,1","16,579763","25,930677","12,64","15,630589","16,651081","13,8","18,71","22,852793","26,7019","4,2","5,0",,"15,5518","16,276","13,5246","15,5701","23,4303",,"20,8","21,4","10,26","21,6269","28,1108","8,4335","10,8331","22,0607","21,7547","5,97326","20,5287"
5773,2018-08-29 08:00:00,"20,0372","22,7676","16,7702","26,58","24,8","42,099375","16,332","23,0","14,092","28,449","23,357","20,5886",,"13,1734","34,3588","27,2045","11,3672","36,8334","14,088969","18,5","12,447418","19,33","9,84517","25,356226","10,84","13,080589","14,419698","10,79","15,72","14,043663","32,4039","3,8","5,0",,"24,2283","16,5582","16,2564","14,9308","15,3719",,"44,1","29,8","5,48","21,5744","25,3912","13,8339","9,61889","29,6482","25,0181","12,2406","16,8245"
5774,2018-08-29 09:00:00,"18,1886","20,6154","12,5802","34,1841","20,8","15,072813","9,9268","15,0","8,71","17,949","14,807","17,8036",,"14,3548","33,3238","17,1487","9,89935","16,9424","9,428484","14,6","5,983907","19,03","6,955626","19,447581","8,8","9,619875","8,593307","6,99","9,5","6,826545","25,6175","3,1","7,0",,"26,0523","16,6954","20,307","10,8218","7,00333",,"34,7","36,9","6,69","23,0429","26,2708","11,5277","7,81167","27,3679","18,1167","14,6968","16,8003"
5775,2018-08-29 10:00:00,"13,9875","13,7945","8,48217","12,096","16,4","7,569688","6,6764","9,0","7,813","9,549","1,982","10,1556",,"12,9224","22,2822","16,5613","9,92036","12,9284","8,599953","13,8","3,931998","15,86","5,332417","8,697129","6,85","10,075232","5,990026","7,07","9,19","5,552936","16,8842","3,0","7,0",,"29,4707","5,60045","18,7998","3,47733","5,88556",,"6,8","22,8","2,98","13,3815","18,6628","12,2952","5,81583","23,5906","14,6778","15,2987","13,239"
5776,2018-08-29 11:00:00,"12,6758","10,7324","7,89361","4,2505","10,1","4,047813","5,6248","7,0","7,813","5,349","6,257","7,81083",,"15,636","21,2395","11,1695","11,2031","13,862","7,253591","15,1","3,111235","11,34","4,745298",,"6,13","8,982375","4,9983","6,61","8,38","5,340668","15,1647","3,2","3,0",,"17,6638","4,35847","15,126","4,49653","5,58111",,"5,9","11,5","9,31","14,5239","16,7907","12,9246","4,85187","12,1342","9,24194","8,21513","9,65487"
5777,2018-08-29 12:00:00,"11,4817","7,23141","9,07809","8,2336","9,6","3,35875","6,1984","6,0","7,813","8,499","7,682","7,60389",,"7,78285","18,9252","7,2096","14,6611","13,6798","6,42506","21,2","3,111235","8,07","3,973986","7,794419","6,31","6,523446","4,874334","11,86","7,25","5,552936","13,5397","3,7","3,0",,"14,4117","5,57377","13,3362","11,9321","5,91806",,"8,0","9,5","19,47","19,4897","14,4265","11,7704","6,19611","9,50514","7,88361","6,8952","9,94278"
5778,2018-08-29 13:00:00,"10,8675","10,3389","13,7797","11,1304","10,5","6,7275","5,0512","7,0","7,813","10,599","9,107","7,03889",,"9,54812","17,9895","7,27194","20,3749","13,3938","7,150024","12,8","3,316426","7,03","3,939449","7,876484","6,27","9,164518","4,874334","9,52","7,69","5,446802","13,5367","4,2","3,0",,"9,71212","7,34579","13,9014","13,8043","5,94778",,"15,6","9,2","20,93","16,7291","14,1553","9,82067","6,10611","9,20604","8,10389","5,68666","9,91699"
5779,2018-08-29 14:00:00,"10,6264","10,4346","13,2017","14,2686","10,4","8,029063","4,7644","6,0","9,607","7,449","1,982","7,73389",,"10,1204","18,2435","12,1665","14,5957","13,8976","7,150024","11,1","3,521617","5,13","4,008522","6,973774","5,9","11,532375","5,742094","7,02","7,93","4,916131","13,1956","4,5",,,"7,88271","4,76496","13,9014","17,8923","6,44444",,"17,3","8,6","22,42","19,3671","14,0211","8,54814","6,43722","7,79642","8,06278","7,95037","9,19693"
5780,2018-08-29 15:00:00,"10,9497","9,63238","10,4967","15,1135","10,6","9,024375","5,0512","6,0","9,607","9,549","4,832","7,47583",,"13,3927","19,9998","14,5106","12,9951","13,256","7,460723","10,4","3,213831","3,42","4,549592","6,89171","5,8","8,891304","6,113991","7,79","8,03","5,128399","13,8875","4,6",,,"8,83753","4,62082","13,9956","13,5444","6,39833",,"15,0","8,8","17,89","17,583","14,6842","9,38814","6,24972","5,35368","7,72361","5,89715","9,39609"
5781,2018-08-29 16:00:00,"11,7083","11,2708","14,3291","14,2686","11,8","6,268125","5,5292","8,0","8,71","10,599","10,532","7,37111",,"8,97828","20,5","11,7716","11,3364","12,8766","8,185688","8,6","3,521617","5,28","5,424514","6,481387","5,71","8,253804","6,113991","7,88","7,68","5,65907","14,7403","4,6",,,"9,79746","10,754","16,1622","13,7305","6,56139",,"10,6","8,4","16,55","19,23","14,9624","8,61871","6,08","6,53285","7,68167","9,42226","10,3719"
5782,2018-08-29 17:00:00,"12,1894","15,5168","11,8938","13,6651","11,5","4,2775","6,3896","9,0","8,71","9,549","14,807","8,13833",,"9,95951","20,3863","9,97405","30,722","13,1521","8,496387","8,5","3,419021","8,37","5,309392","7,137903","5,91","8,618089","5,990026","8,26","7,76","6,720411","15,8469","4,7","5,0",,"11,1432","11,511","20,9664","12,5723","7,52833",,"8,8","10,6","19,57","18,5923","15,6406","12,8923","7,25806","8,328","8,18472","12,3374","10,5376"
5783,2018-08-29 18:00:00,"12,535","20,461","12,6605","8,7164","11,1","7,569688","7,0588","12,0","7,813","11,649","9,107","9,19417",,"10,1716","21,4612","12,3168","38,8987","16,2409","9,842749","9,4","4,650166","10,4","6,046168","8,779194","7,25","8,162732","6,485889","9,33","8,35","9,7983","19,3733","5,6","10,0",,"10,8317","14,4635","29,5386","11,0111","12,8364",,"9,3","11,1","36,38","23,7609","17,4974","13,8146","9,04111","10,4432","9,57611","9,65193","10,7425"
5784,2018-08-29 19:00:00,"14,12","18,694","14,9738","13,1823","13,2","8,488438","9,162","25,0","9,607","13,749","10,532","13,1664",,"9,87223","33,8046","25,6421","31,1992","22,4192","9,739183","12,1","7,215052","13,28","6,264899","11,733516","9,56","9,893089","8,221409","11,34","10,66","17,758357","20,9547","6,4","8,0",,"20,1338","17,2986","21,4374","12,5687","17,5247",,"7,2","17,6","21,9","19,9143","19,2278","11,9601","14,6375","9,62733","10,8769","13,2907","11,7496"
5785,2018-08-29 20:00:00,"17,4164","25,525","17,5119","18,4931","15,2","7,263438","12,03","29,0","12,298","14,799","14,807","13,955",,"9,03542","38,3525","18,9658","44,9353","25,9907","11,603377","13,8","13,678563","15,62","7,404599","19,61171","10,0","12,443089","10,82469","13,17","12,14","16,909284","23,5825","12,2","3,0",,"29,5282","19,7551","28,785","15,5113","18,9853",,"5,6","17,2","31,17","28,58","21,7326","13,4694","18,5281","9,48433","12,5097","14,2763","12,8897"
5786,2018-08-29 21:00:00,"18,18","22,7801","20,7674","19,9415","21,5","11,857188","17,6704","29,0","12,298","14,799","14,807","13,5733",,"13,6651","30,6794","31,3482","55,1366","30,1004","14,088969","12,8","16,859021","19,31","8,889663","27,571968","11,54","14,628804","16,775047","13,1","13,57","23,914134","25,5297","20,2","5,0",,"22,9138","22,7684","27,4662","18,6029","15,7008",,"24,9","15,7","20,28","30,8917","23,1507","13,9215","20,5219","14,7205","13,9264","17,4798","17,1253"
5787,2018-08-29 22:00:00,"19,0503","17,9774","19,3974","18,9759","20,3","15,379063","15,7584","27,0","10,504","12,699","11,957","14,4878",,"14,19","30,8331","37,254","37,0217","28,8777","13,364004","27,2","17,577189","19,05","9,004785","25,027968","17,3","13,718089","16,651081","14,14","15,2","19,244234","25,9375","10,8","15,0",,"21,9581","24,0785","25,959","15,6648","14,2475",,"26,1","16,6","20,3","29,9059","24,9578","19,5525","20,2664","18,0795","14,8231","15,4265","14,6153"
5788,2018-08-29 23:00:00,"19,5508","14,2526","17,2733","19,8208","20,6","10,632188","12,2212","30,0","10,504","11,649","19,082","15,2056",,"15,7696","33,5423","36,2028","60,7745","26,1142","12,535474","21,6","13,678563","19,39","10,812188","25,274161","16,91","15,175232","15,535389","13,94","16,49","15,529541","39,6556","11,3","14,0",,"24,1815","24,7162","20,1186","13,7178","12,5111",,"32,7","16,3","15,43","27,8551","27,1639","12,9757","19,4203","19,747","15,4308","13,1723","15,1308"
5789,2018-08-30 00:00:00,"17,69","18,9708","16,0144","21,1485","20,2","11,244688","12,1256","30,0","11,401","12,699","13,382","16,36",,"15,5536","34,3099","38,7772","48,183","23,307","12,949739","19,2","13,473373","21,22","11,940377","27,900226","17,82","13,991304","15,287458","12,35","15,77","13,937529","37,7642","12,4","15,0",,"24,1414","24,3212","18,6114","9,42005","13,0003",,"27,4","16,4","9,73","23,3731","28,1571","14,318","20,6233","20,6957","15,755","16,3285","13,8744"
5790,2018-08-30 01:00:00,"15,7517","23,9707","21,3077","18,131","20,4",,"12,6992","28,0","12,298","14,799","9,107","17,3178",,"17,0064","47,0634","28,563","37,0926","22,3119","11,914076","20,6","13,98635","19,23","10,627994","27,900226","16,85","12,989518","15,287458","12,36","16,28","13,725261","35,2197","10,4","16,0",,"23,8723","24,1032","16,1622","9,00167","12,5569",,"21,0","16,5","11,34","29,0597","28,4936","18,1436","18,3592","21,4601","17,4536","8,82341","13,9045"
5791,2018-08-30 02:00:00,"13,0567","25,0985","21,2346","18,4931","20,8","8,029063","13,8464","29,0","13,195","14,799","9,107","20,1281",,"19,6679","47,1108","33,1805","30,845","22,585","10,67128","11,3","16,038258","19,67","10,743116","25,520355","16,52","12,807375","13,799869","13,04","16,88","12,876188","36,9969","9,9","12,0",,"19,2525","21,9891","14,7492","8,53078","21,9567",,"14,7","17,3","14,07","22,532","27,2051","17,5116","19,0422","20,0027","19,5106","10,119","14,2203"
5792,2018-08-30 03:00:00,"13,8531","20,2766","21,702","20,7864","20,0","7,186875","14,7068","29,0","14,092","12,699","7,682","21,8097",,,"49,8832","35,2299","31,3376","23,2931","10,464147","19,5","21,270624","16,26","10,132973","23,714935","16,31","12,898446","13,18004","14,04","16,61","12,239384","39,8086","15,8","11,0",,"23,9419","19,6198","13,9956","5,38488","15,7489",,"17,1","16,7","16,97","20,1062","27,6451","15,1692","18,7775","20,663","20,6161","10,0091","14,7401"
5793,2018-08-30 04:00:00,"13,9156","21,1568","23,3718","17,8896","19,3","6,42125","15,376","28,0","14,092","13,749","1,982","23,8967",,"13,6599","46,6773","34,9211","31,8104","24,6481","10,67128","18,5","18,397953","15,55","9,660976","22,648097","14,24","13,262732","13,675903","15,23","16,71","12,557786","58,5319","16,0","10,0",,"27,9714","16,5434","13,4304","5,20694","14,3628",,"15,1","15,6","11,35","26,3185","28,6229","18,5852","18,0619","22,6997","22,3375","10,2786","15,8003"
5794,2018-08-30 05:00:00,"14,3253","29,4571","23,0486","19,338","18,8","13,082188","15,854","29,0","13,195","12,699","3,407","26,7297",,"10,7425","46,0127","40,1742","24,4891","25,8845","11,396244","16,1","14,499327","19,73","10,121461","21,335065","15,43","14,082375","13,923835","17,68","16,82","14,362066","62,8803","11,8","10,0",,"24,4954","16,225","13,3362","6,75363","16,2417",,"16,3","15,8","5,98","20,3408","30,0327","16,1363","17,4875","24,1226","24,4856","14,2941","17,1534"
5795,2018-08-30 06:00:00,"15,7581","37,927","24,2814","21,752","20,3","8,794688","15,6628","30,0","13,195","14,799","13,382","28,1761",,"18,4067","55,2834","49,3804","28,6382","25,4832","12,121208","18,6","10,498105","17,8","10,777652","20,432355","16,42","15,721661","14,295732","20,29","17,26","17,33382","64,5544","14,5","15,0",,"20,4415","16,089","12,9594","8,68699","18,4303",,"16,0","17,3","14,19","19,8828","31,0985","17,2587","20,9561","32,4621","26,6044","17,2965","18,5239"
5796,2018-08-30 07:00:00,"17,3292","33,5393","21,6656","26,0972","21,3","7,263438","17,5748","39,0","14,989","16,899","24,782","28,5844",,"19,4332","67,9579","49,0645","47,0162","24,9109","13,053305","20,7","11,421464","17,98","11,779207","20,432355","19,5","19,728804","17,146944","19,26","18,8","17,439954","64,3469","10,7","7,0",,"24,7151","16,511","14,0898","18,1455","18,5939",,"17,8","18,5","20,16","21,2264","29,8726","15,9931","21,6044","22,3306","28,4675","14,8844","19,9258"
5797,2018-08-30 08:00:00,"15,2403","28,9954","21,0748","29,2354","21,1","10,555625","17,3836","46,0","16,783","17,949","17,657","26,6928",,"21,9731","64,6178","44,9157","36,1071","18,3861",,"13,5","9,779937","23,02",,"24,863839","17,92","19,182375","16,40315","15,21","17,09","14,786602","39,5822","8,2","15,0",,"19,5982","20,1127","15,4086","9,55904","17,6467",,"17,7","19,0","22,11","24,9662","21,1018","17,29","17,1919","17,8837","29,6239","15,6156","21,8339"
5798,2018-08-30 09:00:00,"12,7569","20,9845","20,6778","23,9246","20,8","8,794688","12,8904","22,0","18,577","20,049","24,782","19,6222",,"13,4898","50,6759","45,1516","14,0982","14,2351","13,467571","23,4","8,241006","15,16","9,165954","18,462806","12,0","14,902018","12,436245","11,22",,"12,982322","29,3922","3,7","13,0",,"19,3239","18,9061","15,0318","13,8432","15,6731",,"22,0","18,4","23,43","21,0509","15,7227","21,5275","11,4439","27,597","26,4942","17,7377","24,4564"
5799,2018-08-30 10:00:00,"10,5747","19,6688","11,6984","19,8208","19,3","11,474375","13,942","17,0","16,783","22,149","21,932","17,5006",,"18,6214","33,3069","18,2755","16,9096","12,63","11,810509","21,3","6,189098","13,98","10,00634","18,052484","8,31","10,621661","10,080896","12,6","11,3","13,512993","16,7958","2,4","10,0",,"10,5117","9,44209","12,6768","12,374","12,6667",,"25,7","16,3","26,76","18,8628","15,7057","13,7129","8,88472","30,0666","22,6942","19,4927","25,6408"
5800,2018-08-30 11:00:00,"10,2522","16,3778","10,5546","14,7514","18,5","8,565","13,7508","17,0","16,783","20,049","13,382","15,0369",,"10,9019","27,2236","12,8897","21,3524","11,1304","10,464147","18,7","6,599479","10,98","10,455312","13,210677","7,31","10,894875","8,965204","12,88","10,96","12,345518","13,58","2,6","6,0",,"16,5155","6,44106","12,0174","9,62606","11,1517",,"19,5","16,5","30,74","12,7885","13,0981","12,7608","10,1436","17,6172","21,125","20,309","22,7669"
5801,2018-08-30 12:00:00,"10,6444","12,7605","11,8938","12,9409","20,0","11,780625","13,464","16,0","14,989","20,049","3,407","15,9886",,"14,7902","19,7116","7,0938","11,4974","10,7837","13,364004","11,8","7,522838","10,35","10,259606","12,800355","7,15","11,350232","9,832964","14,17","11,42","11,920981","10,9869","4,2","7,0",,"11,96","5,44871","12,3","3,85676","12,2981",,"28,8","15,6","27,08","13,74","9,89187","15,6563","9,07583","16,679","19,9425","13,461","22,3281"
5802,2018-08-30 13:00:00,"9,10389","15,9152","14,0364","19,9415","20,8","10,555625","12,8904","16,0","15,886","23,199","9,107","15,0392",,"13,2309","16,9031","13,0183","13,4082","9,61938","13,364004","13,5","9,677342","12,36","9,994827","12,800355","7,14","13,171661","10,948656","18,05","12,74","11,496445","11,8075","5,1","9,0",,"14,9058","6,04902","12,8652","7,98881","13,3497",,"19,2","14,8","26,55","14,1664","9,70284","13,3903","8,77333","11,3305","16,6183","17,0529","22,0422"
