,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
23,2018-01-01 18:00:00,"19,8096","10,0403","10,5","10,6476","22,0771","8,1905",,"25,2","22,0","46,299","47,582",,,"7,91762","46,6904",,"36,6","35,5818","22,788541","22,9","25,292365","26,62","20,609007","27,98229","30,546529","26,377018","20,49402","20,02","21,74","32,404862","21,0051","16,3","14,0",,"28,2144","8,9351","14,3331","11,3656",,"25,3",,,"44,53",,"29,6271","35,3143","12,2899",,,"9,60017","13,7959"
24,2018-01-01 19:00:00,"4,5688","17,57","12,7","12,4581","21,0587","7,753",,"31,6","31,0","38,949","47,582",,,"17,4606","50,3681",,"31,6","35,871","23,09924","22,3","26,08235","26,16","23,107138","32,742032","33,059599","27,196661","21,485746","22,55","23,42","39,303578","17,4858","17,6","20,0",,"27,1101","9,85396","12,5112","6,93837",,"25,5",,,"46,84",,"29,693","43,2283","8,76665",,,"31,1163","11,2381"
25,2018-01-01 20:00:00,"16,9165","14,3458","19,0287","15,717",,"13,2655",,"27,2","31,0","37,899","73,232",,,"23,3086","57,1373",,"33,6","44,5918","23,92777","30,1","30,422136","32,6","13,609635","29,623581","28,130115","29,200232","24,212993","22,85","24,19","36,968628","26,752","20,2","16,0",,"22,0943","11,3754","14,7239","8,64353",,"23,2",,,"45,79",,"29,0729","37,4282","9,38302",,,"24,9901","11,7122"
26,2018-01-01 21:00:00,"12,4231","21,896","15,2384","16,8033",,,,"23,4","27,0","51,549","80,357",,,"15,5967","74,8966",,"41,6","42,0901","26,309796","27,4","32,586899","32,95","21,092516","28,802935","28,323428","30,657375","26,072479","24,11","24,62","42,487601","36,042","20,3","17,0",,"18,8604","16,1176","18,0828","7,67096",,"28,2",,,"42,76",,"35,5181","43,0514","11,2268",,,"13,2039","11,9083"
27,2018-01-01 22:00:00,"24,5108","21,1644","16,6198","18,3724","20,0403","15,1905",,"30,0","35,0","37,899","60,407",,,"9,45277","80,4267",,"46,0","34,8257","25,999097","34,9","40,394411","35,07","30,647581","30,690419","28,806711","31,932375","27,064205","25,15","26,71","41,320126","30,5088","17,1","16,0",,"26,6048","18,6313","18,743","7,03661","19,3877","32,0",,,"36,0",,"32,2584","40,0306","12,5797",,,"10,8319","15,7418"
28,2018-01-01 23:00:00,"16,7602","36,4668","24,3302","20,3036","16,9851",,,"35,6","37,0","44,199","43,307",,,"20,3512","89,6687",,"66,9","36,1699","28,070424","34,4","46,734808","37,7","27,263016","33,152355","27,840146","34,664518","27,312137","25,59","28,23","34,739812","33,4066","14,1","23,0",,"34,5681","22,1651","18,0831","9,03789","7,48136","62,1",,,"37,19",,"28,5138","38,8838","15,1321",,,"9,75871","7,73617"
29,2018-01-02 00:00:00,"11,5","24,1666","16,1813","26,3386",,,,"42,4","29,0","44,199","37,607",,,"13,0521","113,608",,"69,0","39,4186","29,831051","48,6","79,021586","38,16","26,399606","32,742032","29,193337","36,850232","25,204719","27,89","31,84","31,768057","28,4878","18,9","16,0",,"42,7292","23,1222","16,3812","9,7311","10,0","119,2",,,"43,59",,"54,3258","36,6564","13,6494",,,"11,0663","8,45787"
30,2018-01-02 01:00:00,"10,2564","22,8546","16,0","23,6832","19,1492",,,"38,5","32,0","37,899","36,182",,,"15,2976","116,821",,"78,9","26,5418","33,352307","46,7","80,396365","35,06","26,986725","33,808871","26,970237",,"25,824548","27,6","35,01","30,706716","56,0698","17,7","22,0",,"50,1959","23,8501","16,6373","11,094","12,3606","106,8",,,"33,26",,"32,0878","40,7205","15,369",,,"9,40037","9,45609"
31,2018-01-02 02:00:00,"13,0375","17,7905","14,1","20,545","16,6032",,,"37,1","33,0","32,649","29,057",,,"9,04925","108,198",,"68,2","27,532","34,180837","47,9","70,20864","26,84","28,713544","39,717516","28,226772","35,119875","29,047658","27,23","35,86","31,980325",,"17,8","25,0",,"41,0274","20,0264","14,7034","10,8544","12,4","116,5",,,"28,71",,"64,206","45,0725","15,7919",,,"8,11853","11,3482"
32,2018-01-02 03:00:00,"9,91417","14,6867","9,75352","17,2861",,,,"38,3","28,0","25,299","23,357",,,"9,28093","111,298",,"76,8","24,5593","36,769996","31,1","61,600884","32,16","26,388094","39,881645","30,836498","37,669875","33,510425","27,91","34,02","38,666773","36,4876","13,0","26,0",,"28,7515","18,1864","14,1751","10,3532","18,4229","84,7",,,"25,63",,"46,1884","38,021","16,4649",,,"9,9023","9,99308"
33,2018-01-02 04:00:00,"7,2","6,33068","13,1497","16,5619","16,8578","16,4155",,"36,3","27,0","25,299","26,207",,,"8,8325","116,576",,"79,0","21,0755","38,530623","24,3","58,215235","29,16","28,195498","36,517","31,89972","40,675232","36,113706","29,55","37,23","43,230539","41,6502","12,5","23,0",,"30,2843","18,3021","13,0162","8,56112","9,52388","63,4",,,"23,27",,"46,8369","41,3409","14,7137",,,"10,1105","5,10691"
