,year,month,station,city,PM2.5
178,2014,9,WmOlsPuszkin,Olsztyn,25.147355669014082
179,2014,9,WpKaliSawick,Kalisz,40.93555555555556
180,2014,10,DsWrocAlWisn,Wrocław,27.666666666666668
181,2014,10,KpBydPlPozna,Bydgoszcz,22.110170262962964
182,2014,10,LdLodzCzerni,Łódź,28.333217487804877
183,2014,10,LdZgieMielcz,Zgierz,22.109186584269665
184,2014,10,LuZielKrotka,Zielona Góra,20.386036879432623
185,2014,10,MpKrakAlKras,Kraków,41.03321033210332
186,2014,10,MpKrakBulwar,Kraków,28.0625
187,2014,10,MzLegZegrzyn,Legionowo,36.08413498909091
188,2014,10,MzPlocMiReja,Płock,24.531666666666666
189,2014,10,MzRadTochter,Radom,35.2955
190,2014,10,MzSiedKonars,Siedlce,33.4596875
191,2014,10,MzWarAlNiepo,Warszawa,32.641501319999996
192,2014,10,MzWarWokalna,Warszawa,24.918641114982577
193,2014,10,MzZyraRoosev,Żyrardów,31.272428571428573
194,2014,10,OpKKozBSmial,Kędzierzyn-Koźle,31.598393574297187
195,2014,10,PkPrzemGrunw,Przemyśl,23.61965620437956
196,2014,10,SlKatoKossut,Katowice,27.885416666666668
197,2014,10,SlZlotPotLes,Złoty Potok,14.86909090909091
198,2014,10,WmOlsPuszkin,Olsztyn,24.02262728409091
199,2014,10,WpKaliSawick,Kalisz,28.08916967509025
200,2014,11,DsWrocAlWisn,Wrocław,27.880149812734082
201,2014,11,KpBydPlPozna,Bydgoszcz,25.930639554216867
202,2014,11,LdLodzCzerni,Łódź,27.252932861313866
203,2014,11,LdZgieMielcz,Zgierz,22.550144449438204
204,2014,11,LuZielKrotka,Zielona Góra,22.115555197132615
205,2014,11,MpKrakAlKras,Kraków,51.15018315018315
206,2014,11,MpKrakBulwar,Kraków,35.80555555555556
207,2014,11,MzLegZegrzyn,Legionowo,34.04996698084291
208,2014,11,MzPlocMiReja,Płock,24.785416666666666
209,2014,11,MzRadTochter,Radom,33.75194444444444
210,2014,11,MzSiedKonars,Siedlce,32.352222222222224
211,2014,11,MzWarAlNiepo,Warszawa,33.64618376515151
212,2014,11,MzWarWokalna,Warszawa,27.288776223776225
213,2014,11,MzZyraRoosev,Żyrardów,31.105694444444445
214,2014,11,OpKKozBSmial,Kędzierzyn-Koźle,30.471544715447155
215,2014,11,PkPrzemGrunw,Przemyśl,25.876931597222224
216,2014,11,SlKatoKossut,Katowice,26.56993006993007
217,2014,11,SlZlotPotLes,Złoty Potok,17.86120996441281
218,2014,11,WmOlsPuszkin,Olsztyn,25.518131194656487
219,2014,11,WpKaliSawick,Kalisz,34.82555555555555
220,2014,12,DsWrocAlWisn,Wrocław,24.10989010989011
221,2014,12,KpBydPlPozna,Bydgoszcz,23.54437535471698
222,2014,12,LdLodzCzerni,Łódź,29.25103297348485
223,2014,12,LdZgieMielcz,Zgierz,26.416554590038313
